"","Prc.sum","expl.frac","wmSrc_time","wmSrc_lon","wmSrc_lat","wmSrc_p","wmSrc_Z","wmSrc_nocfblh","wmSrc_T","wmSrc_Q","wmSrc_PS","wmSrc_evs","wmSrc_RH","wmSrc_dQ","wmSrc_Q.upt","wmSrc_Prc.frac","wmSrc_Prc.upt","wmSrc_Rainout.frac","wmSrc_cum.dist","wmSrc_sd.lat","wmSrc_sd.lon","wmSrc_sd.p","wmSrc_sd.Z","wmSrc_sd.nocfblh","wmSrc_sd.T","wmSrc_sd.PS","wmSrc_sd.RH","wmSnk_lon","wmSnk_lat","wmSnk_p","wmSnk_Z","wmSnk_nocfblh","wmSnk_T","wmSnk_Q","wmSnk_nocftp","wmSnk_PS","wmSnk_RH","wmSnk_dQ","Ele..m.","Type_main","type","ISO","mw18O","mwdD","Monat","Prc.season","humid.arid","RFZraster","Africa","Oceans","NEAR_DIST","d.Excess","Forest_clr","Shrub_clr","Cropland_clr","Bare_clr","Water_clr","Artificial_clr","Africa_clr","Oceans_clr","Land.Ocean"
"WindhoekRain1a",0.574,0.60301296,-76.1309266,29.2459909,-23.0353117,871.342003,694.411111,1021.34662,292.555136,14.1145066,9.3270214,-0.19078612,81.2951956,0.45613017,0.30347423,0.04352545,0.01276108,0.40705175,1637718.88,-0.47531173,12.1659909,105.575453,-1146.51289,513.008708,5.97104166,1.14092906,-5.97799085,17.08,-22.56,765.766551,1840.924,508.337908,286.584094,11.5597143,0.00610976,8.18609233,87.2731864,-0.43451916,1655,"Precipitation","Rainfall","NAM",2.8285253,18.5683219,"1","3","3","SRZw",0.70189673,0.29810327,262741.747287,-4.0598805,-1.51766263902491,1.45324891549699,-0.695324181016391,0,0.759737904544313,0,0.428173157422514,-0.428173157422514,2.35454220277423
"WindhoekRain1b",1.096,0.66520522,-34.4057637,19.5251944,-24.7924052,664.200803,1206.94526,2468.77638,279.305811,6.08566572,8.80146895,-0.09712008,65.6825663,1.21598474,0.74315671,0.13662134,0.05297513,0.37213194,558072.341,-2.23240524,2.44519444,103.936205,-633.97874,268.879313,8.74467404,0.64304468,-22.0275998,17.08,-22.56,560.264599,1840.924,2199.89707,270.561137,4.95121715,0.00053741,8.15842427,87.7101661,-0.29069891,1655,"Precipitation","Rainfall","NAM",2.8615013,19.0196145,"1","3","3","SRZw",0.97255692,0.02744308,262741.747287,-3.8723959,-1.93722632040707,3.37847470372096,-1.2663296718272,0,-0.17491871148669,0,1.78390728094307,-1.78390728094307,35.4390585896335
"SLW17",0.306,0.34419043816423,-94.3947604340956,18.2704653608618,-16.7373413383749,736.231922398729,1112.2569630981,1793.53602788522,284.145280663011,4.48475967764963,8.93068837062941,-0.0276167858318487,39.7390488864889,0.890088097105958,0.314369065690665,0.0683743560102253,0.0313368421212893,0.604109732627599,3214117.88473632,12.0826586616251,-10.3495346391382,137.048915862782,-1374.6860369019,1720.05956383294,13.4479702054946,1.33894980853791,-40.9532681069752,28.62,-28.82,599.183006535948,2486.943,73.4764640522871,270.697310457516,4.28678758169935,0.0124901960784314,7.5917385620915,80.692316993464,-0.296163398692811,3033,"Precipitation","Rainfall","LSO",2.343572,33.6647736,"9","1","3","SRZe",0.999467662745098,0.000532337254901949,258991.228875,14.9161976,-0.98046512422833,3.71783779203011,2.52263147694116,-1.71483186691655,-3.54517227782639,0,3.768850426347,-3.768850426347,1877.50839067085
"SLW37A",3.305,0.749120949074864,-58.6410220846862,9.70865865865172,-34.7833279147822,944.772790739814,13.4087226335203,898.147575196813,282.349206757624,5.98580498147706,10.171000481889,-0.140290294407701,74.1338934492062,0.316155432443861,0.247175864782832,0.0310527556450029,0.0122980340248064,0.233513668310506,1798311.38310278,-0.873327914782171,-8.68134134134828,16.6638648699202,-20.0872773664797,100.519136467615,-0.860473726490816,0.105684596866318,-19.238249667284,18.39,-33.91,928.108925869894,33.496,797.628438729198,283.209680484115,7.79971225416036,0.191778214826021,10.0653158850227,93.3721431164902,-0.253687443267776,5,"Precipitation","Rainfall","ZAF",-1.1646622,1.78752788,"9","1","3","WRZ",0.042306412324357,0.957693587675643,363.028078733,11.10482548,-0.808415961909025,1.15385852145514,-4.88072470414782,0,4.5352821446017,0,-1.55979460740173,1.55979460740173,0.0441753112569504
"SLW37B",3.305,0.749120949074864,-58.6410220846862,9.70865865865172,-34.7833279147822,944.772790739814,13.4087226335203,898.147575196813,282.349206757624,5.98580498147706,10.171000481889,-0.140290294407701,74.1338934492062,0.316155432443861,0.247175864782832,0.0310527556450029,0.0122980340248064,0.233513668310506,1798311.38310278,-0.873327914782171,-8.68134134134828,16.6638648699202,-20.0872773664797,100.519136467615,-0.860473726490816,0.105684596866318,-19.238249667284,18.39,-33.91,928.108925869894,33.496,797.628438729198,283.209680484115,7.79971225416036,0.191778214826021,10.0653158850227,93.3721431164902,-0.253687443267776,5,"Precipitation","Rainfall","ZAF",-1.13762875,2.22901996666667,"9","1","3","WRZ",0.042306412324357,0.957693587675643,363.028078733,11.3300499666667,-0.808415961909025,1.15385852145514,-4.88072470414782,0,4.5352821446017,0,-1.55979460740173,1.55979460740173,0.0441753112569504
"SLW38",1.615,0.670494839406988,-34.2166605781831,3.2925379511144,-38.7435890702042,891.270405861933,0.108740610079366,1221.54170716632,274.324645505498,3.98902819989078,10.1013934565567,-0.252398328443221,82.5428193846947,0.239282126755796,0.206422654229833,0.0447943313791421,0.0147899389794405,0.173943829861561,1823151.40543173,-4.83358907020417,-15.0974620488856,52.1682386792699,-33.3872593899206,331.059100355179,-1.09328142948612,-0.00800592424822399,-6.8515837112805,18.39,-33.91,839.102167182663,33.496,890.482606811145,275.417926934985,4.85591950464396,0.690107739938081,10.109399380805,89.3944030959752,-0.225886687306502,5,"Precipitation","Rainfall","ZAF",-1.8584635,-3.11174545,"9","1","3","WRZ",0,1,363.028078733,11.75596255,0,0,0,0,0,0,0,0,0
"SSW3",4.967,0.702556608278498,-58.8545493023478,28.2132871268629,-28.0066576764648,844.783012744651,782.590396786414,1205.95124581094,287.805902842411,8.33029066605304,9.28748316406158,-0.244306347840237,66.9657173224007,0.455402258346158,0.178569469898791,0.0368443770176901,0.0582693232431474,0.673744435014285,1601529.10405381,-1.50665767646476,-3.0067128731371,302.010715583386,-143.206603213586,877.956314866706,23.5019276058493,0.155174325728577,-23.1855015219721,31.22,-26.5,542.772297161265,925.797,327.994930944232,264.303975236561,4.06572156231126,0.71637286088182,9.132308838333,90.1512188443729,-0.956747131065029,736,"Precipitation","Rainfall","SWZ",-0.2219608,15.5597047,"12","3","3","SRZe",0.73467538221663,0.26532461778337,147688.268945,17.3353911,-0.13884649937859,1.06163455200753,0.431606000677693,0,0.660072002696441,-2.01446605600307,0.509237347859467,-0.509237347859467,2.76896802247152
"SSW4",1.251,0.817561685301233,-48.6394280126982,25.7261678358307,-34.9031187524709,926.250675510876,97.5330079188484,1294.90061252373,283.522456861227,6.75351879377366,10.0611321653952,-0.366498928431417,76.0509738272119,0.400979952343554,0.337606824978475,0.036564311203931,0.00723834446857141,0.197992840980939,1788909.31198433,-8.40311875247092,-5.49383216416928,89.4401239521232,-828.263992081152,934.843429470167,-0.305959605599655,0.950080206961898,-18.8595761328201,31.22,-26.5,836.810551558753,925.797,360.057183053558,283.828416466827,9.1791103117506,0.437953637090326,9.11105195843325,94.910549960032,-0.154664268585132,736,"Precipitation","Rainfall","SWZ",-0.0262345,16.81782625,"12","3","3","SRZe",0.185489209408473,0.814510790591527,147688.268945,17.02770225,0.802011510968601,-1.82035927859815,-1.39526923057248,0,2.41361699820203,0,-0.739795483010412,0.739795483010412,0.227730818978793
"18K5",1.522,0.803389163265386,-47.9409601548151,22.4571561023246,-20.8110315070656,720.532136479683,1080.64435275645,2132.76022129367,284.671557552726,7.90763545332439,8.92453739320307,-0.130200893794744,65.9834119165414,1.3210197582728,0.709150950791129,0.112031718068225,0.0608235337290383,0.519830486512909,1121235.70921277,-2.90103150706562,6.48715610232465,135.348168017134,-22.4106472435519,1963.03581787712,11.1984176052885,0.0168797059494564,-21.7565460335244,15.97,-17.91,585.183968462549,1103.055,169.724403416557,273.473139947438,6.10408212877792,0.026784494086728,8.90765768725361,87.7399579500657,-0.342600525624179,1076,"Precipitation","Rainfall","NAM",7.08541775,40.175640725,"1","3","3","SRZw",0.952766121537451,0.0472338784625493,382079.6353,-16.507701275,0.874735215250872,3.15865326776308,0.297623743772401,-4.66300937149653,0.331997144710182,0,1.50212903075453,-1.50212903075453,20.1712447198863
"19KHW01",0.679999999999999,0.482168235447183,-86.869795563286,33.7173010828764,-24.5817154214676,853.937485750041,465.596534656548,1058.31788924122,289.373170452373,11.1560441065212,9.62003815164615,-0.24909205638894,79.6831111782287,0.526576145940296,0.256464452372486,0.0277693908572343,0.00541530403807131,0.423813224371432,1816532.64345762,1.61828457853244,5.64730108287642,117.9816033971,-1141.51946534345,343.898346594163,5.37625280531432,1.21009550458732,-8.01932705706543,28.07,-26.2,735.955882352941,1607.116,714.419542647058,283.996917647059,10.1866617647059,0.313435294117647,8.40994264705882,87.7024382352941,-0.1544,1753,"Precipitation","Rainfall","ZAF",-7.129041625,-43.769257125,"2","3","3","SRZe",0.572729959558824,0.427007211911764,452928.69286,13.263075875,0.697861197458916,0.372230936288626,0.242634707216147,0,1.29804109526132,-2.61076793622501,0.146806714027169,-0.146806714027169,1.34126530789642
