MKZ;Messstellenname;Messstellenart;Ostwert;Nordwert;Messpunkthöhe;Filteroberkante;Filteroberkante (m unter Gelände);Filterunterkante;Filterunterkante (m unter Gelände);Ausbausohle;Geländehöhe;Höhensystem;Beobachtungsbeginn;Beobachtungsende;Analysenbeginn;Analyseende;Grundwasserleiterkomplex;Datenlogger;Grundwasserkörper;Kreis;Datenart;WRRL;WRRL;GEOMETRY;X_EPSG25833;Y_EPSG25833
43420001;Authausen;Grundwasserbeobachtungsrohr;339180.79;5719319.02;122.3;106.84;14.55;104.84;16.55;103.84;121.39;DHHN2016;;;2023;;;N;DESN_VM-1-3;Landkreis Nordsachsen;WS;J;ja;POINT (339180.78993756 5719319.02033762);339180.7899;5719319.02
43420072;Dahlenberg, B 72/1970;Grundwasserbeobachtungsrohr;346387.1597;5723557.021;108.21;101.61;5.6;97.21;10;97.21;107.21;HN;1971;;;;Miozäne (Kiessande);;DEST_EL-3-1;Landkreis Nordsachsen;WS;J;ja;POINT (346387.70928868 5723556.76755409);346387.7093;5723556.768
43425103;Falkenberg;Schachtbrunnen;345748.25;5720405.3;124.64;;;;;111.94;124.34;DHHN2016;1963;;;;Saale 1-Kaltzeit;;DEST_EL-3-1;Landkreis Nordsachsen;WS;N;nein;POINT (345748.249953276 5720405.30033803);345748.25;5720405.3
43425506;Kossa,HyKos24/03OP;Grundwasserbeobachtungsrohr;340398.0505;5723037.055;139.66;112.65;26;109.65;29;109.65;138.65;HN;;;2004;;Elster 2-Kaltzeit;;DESN_VM-1-3;Landkreis Nordsachsen;WS;J;ja;POINT (340398.050517485 5723037.05472014);340398.0505;5723037.055
4342E5100;Falkenberg, Pechhütte;Grundwasserbeobachtungsrohr;344265.6117;5719912.814;119.61;102.51;16.17;100.5;18.18;99.5;118.68;DHHN92;2016;;2016;;Elster 2-Kaltzeit;;DESN_VM-1-3;Landkreis Nordsachsen;WS;J;ja;POINT (344266.146183235 5719912.55606521);344266.1462;5719912.556
43430083;Elsnig, HyEln4/00 oP;Grundwasserbeobachtungsrohr;353417.44;5719645.675;101.67;89.37;11.19;83.87;16.69;83.56;100.56;HN;;;2003;;Elster 2-Kaltzeit;;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (353417.98744339 5719645.43069131);353417.9874;5719645.431
43430201_1;Mockritz B 510/96 OP;Messstellenbündel;359662.32;5720076.388;78.27;70.03;6.97;68.57;8.43;68.03;77;NN;2006;;2023;;;J;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (359662.894504207 5720076.1761343);359662.8945;5720076.176
43435042_2;Mockritz-Elsnig,HyEln513/90uP;Grundwasserbeobachtungsrohr;354914.0582;5720296.891;84.63;57.93;26.17;54.13;29.97;54.1;84.1;HN;;;1995;;Elster 2-Kaltzeit;;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (354914.603452594 5720296.65020969);354914.6035;5720296.65
43435074;Dommitzsch;Schachtbrunnen;353301.7318;5721316.665;96.05;;;;;88.73;95.73;DHHN92;1966;;;;Saale 1-Kaltzeit;;DEST_EL-3-1;Landkreis Nordsachsen;WS;N;nein;POINT (353302.281028911 5721316.41501752);353302.281;5721316.415
43435085;Proschwitz;Schachtbrunnen;351944.86;5725019.67;80.83;;;;;71.42;80.61;DHHN2016;1966;;;;Saale 1-Kaltzeit;;DEST_EL-3-1;Landkreis Nordsachsen;WS;N;nein;POINT (351944.859964693 5725019.6703395);351944.86;5725019.67
43435086;Dommitzsch;Schachtbrunnen;354664.9;5722041.97;82.6;;;;;75.56;82.37;DHHN2016;1966;;;;Saale 1-Kaltzeit;;DEST_EL-3-1;Landkreis Nordsachsen;WS;N;nein;POINT (354664.899969111 5722041.97033866);354664.9;5722041.97
43435089;Polbitz;Grundwasserbeobachtungsrohr;356238.2797;5722931.123;77.72;;;;;71.46;76.92;HN;1966;;;;Auebildungen;J;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (356238.825954759 5722930.88929057);356238.826;5722930.889
43440001;Rosenfeld,1/95;Grundwasserbeobachtungsrohr;364086.8389;5718322.568;82.07;79.27;1.89;73.27;7.89;73.16;81.16;HN;1995;;1996;2005;;J;DESN_EL-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (364087.431740896 5718322.36886517);364087.4317;5718322.369
43440002_2;Döbrichau,WP1/95uP;Messstellenbündel;370312.249;5718354.59;83.9;80.1;3;75.1;8;75.1;83.1;HN;1995;;1996;2006;;J;DEBB_SE-4-2;Landkreis Nordsachsen;WS;J;ja;POINT (370312.877643076 5718354.40405873);370312.8776;5718354.404
43440005;Dautzschen;Grundwasserbeobachtungsrohr;362400.52;5722915.26;79.72;72.68;6.1;70.68;8.1;69.68;78.78;DHHN2016;;;2023;;;N;DESN_EL-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (362400.519978898 5722915.26033905);362400.52;5722915.26
44390001;Peterwitz, GWM 1/2012;Grundwasserbeobachtungsrohr;308477.0176;5709139.649;101.67;91.81;8.9;90.81;9.9;89.81;100.71;DHHN92;;;2012;;Saale 1-Kaltzeit;;DESN_VM-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (308477.428288194 5709139.3230403);308477.4283;5709139.323
44393876;Kyhna, B 38/76;Grundwasserbeobachtungsrohr;309845.2263;5712194.579;99.72;86.9;12;84.7;14.2;83.2;98.9;NN;1987;;2002;;Saale 1-Kaltzeit;;DESN_VM-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (309845.637193776 5712194.26661326);309845.6372;5712194.267
4439E6279;Doberstau, B 1/2016;Grundwasserbeobachtungsrohr;305906.12;5711093.75;102.51;90.38;10.9;88.38;12.9;87.38;101.28;DHHN92;2017;;2016;;Saale 2-Kaltzeit;;DESN_VM-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (305906.496752578 5711093.4160783);305906.4968;5711093.416
44400013;Wannewitz, GWM 1/2012;Grundwasserbeobachtungsrohr;323382.4215;5713627.867;97.88;91.94;5;89.94;7;88.94;96.94;DHHN92;;;2012;;Elster 2-Kaltzeit;;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (323382.886151294 5713627.55536085);323382.8862;5713627.555
44400014;Delitzsch, B 19/2009;Grundwasserbeobachtungsrohr;317265.79;5712927.39;98.3;87.22;10.07;84.22;13.07;84.22;97.29;DHHN2016;;;2015;;Elster 2-Kaltzeit;;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (317265.789848812 5712927.39033571);317265.7898;5712927.39
44400015;Delitzsch, B 1/2016;Grundwasserbeobachtungsrohr;315288.9636;5712813.239;97.5;80.2;16.2;77.2;19.2;76.2;96.4;DHHN92;2016;;2016;;Elster 2-Kaltzeit;;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (315289.402937991 5712812.93406605);315289.4029;5712812.934
44400016;Badrina, B 1/2016;Grundwasserbeobachtungsrohr;325843.18;5715229.83;99.59;95.36;3;93.36;5;92.36;98.36;DHHN92;2017;;2023;;Saale 1/2-Kaltzeit;;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (325843.64313558 5715229.5168777);325843.6431;5715229.517
44400323_1;Benndorf, B 323/83;Messstellenbündel;315747.5469;5714487.614;95.21;26.2;68;22.2;72;18.2;94.2;NN;1987;;;;;;DESN_VM-1-1;Landkreis Nordsachsen;WS;N;nein;POINT (315747.978651607 5714487.31482343);315747.9787;5714487.315
44400361_1;Selben, B 361/76;Messstellenbündel;318477.96;5709116.24;103.37;92.4;9.96;89.4;12.96;86.4;102.36;DHHN2016;1988;;;;;;DESN_VM-1-1;Landkreis Nordsachsen;WS;N;nein;POINT (318477.95985644 5709116.24033457);318477.9599;5709116.24
44400501;DelitzschP11;Grundwasserbeobachtungsrohr;317230.75;5712680.14;98.77;95.98;2.15;90.98;7.15;90.86;98.13;DHHN2016;2015;;2004;2006;;;DESN_VM-1-1;Landkreis Nordsachsen;WS;N;nein;POINT (317230.749848661 5712680.14033564);317230.7498;5712680.14
44400865_1;Reibitz, B 8/65 o;Messstellenbündel;323867.9321;5715825.547;98.72;79.5;18.2;77.5;20.2;76.5;97.7;NN;1987;;;;;;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (323868.401606181 5715825.24323964);323868.4016;5715825.243
44401567;Beerendorf, oP;Grundwasserbeobachtungsrohr;318264.525;5711530.335;100.26;89.82;9.5;87.82;11.5;86.81;99.32;DHHN2016;;;2020;;Saale 1-Kaltzeit;N;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (318264.524854776 5711530.33533529);318264.5249;5711530.335
44401568;Beerendorf, uP;Grundwasserbeobachtungsrohr;318262.934;5711526.558;100.19;79.1;20.19;76.1;23.19;75.09;99.29;DHHN2016;;;2020;;Elster 1-Kaltzeit;N;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (318262.933854767 5711526.55833528);318262.9339;5711526.558
44406436;Sausedlitz;Schachtbrunnen;321713.5618;5716408.014;86.73;;;;;83.38;85.6;DHHN92;1920;;;;Elster 2-Kaltzeit;;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (321714.039045529 5716407.69775285);321714.039;5716407.698
44406477;Brinnis;Bohrbrunnen;322528.2312;5710389.154;102.24;;;;;94.62;101.84;DHHN92;1987;;;;;;DESN_VM-1-1;Landkreis Nordsachsen;WS;N;nein;POINT (322528.705567112 5710388.84381119);322528.7056;5710388.844
44406480;Gollmenz;Bohrbrunnen;324853.4272;5709355.945;103.1;;;;;82.3;102.6;NN;1988;;;;;;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (324853.903509923 5709355.61334293);324853.9035;5709355.613
4440B5658;LMBV-Messstelle, Delitzsch, GW 2, B 5658/001;Grundwasserbeobachtungsrohr;314940.7918;5711996.479;92.87;89.9;1.8;88.9;2.8;88.9;91.7;DHHN92;2008;;;;;;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (314941.236220125 5711996.17253021);314941.2362;5711996.173
4440B6267;LMBV-Messstelle, 6267, GWM 1/08;Grundwasserbeobachtungsrohr;325403.1475;5712706.674;92.4;90.3;2.3;88.4;4.2;86.6;92.6;DHHN92;;;2017;;Saale 1-Kaltzeit;;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (325403.619105675 5712706.36438253);325403.6191;5712706.364
4440E1266;Spröda;Grundwasserbeobachtungsrohr;321839.719;5711926.314;98.6;69.91;27.7;67.91;29.7;66.9;97.61;DHHN2016;;;2020;;Sande der Vetschauer Schichten (Untermiozän);N;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (321839.71887354 5711926.31433537);321839.7189;5711926.314
44410001;Krippehna, Brösen,Kiesgrube P2/93;Grundwasserbeobachtungsrohr;328502.37;5712727.38;105.33;101.23;3;95.93;8.3;95.03;104.23;DHHN2016;;;1996;;Elster 2-Kaltzeit;;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (328502.369903017 5712727.38033559);328502.3699;5712727.38
44410007;Dep.KrippehnaGWP4;Grundwasserbeobachtungsrohr;328038.5977;5709188.649;104.85;101.05;2.95;97.15;6.85;97;104;NN;;;1999;;Elster 2-Kaltzeit;;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (328039.079062302 5709188.32163742);328039.0791;5709188.322
