,Date,pr,tas
0,1990-01-01,1.0,-0.7285714
1,1990-01-08,3.3,3.8714287
2,1990-01-15,12.6,6.1857142
3,1990-01-22,26.4,5.7428575
4,1990-01-29,4.9,6.057143
5,1990-02-05,10.9,6.6285715
6,1990-02-12,13.4,2.7285714
7,1990-02-19,2.8,9.385714
8,1990-02-26,36.5,3.8999999
9,1990-03-05,21.5,7.2999997
10,1990-03-12,0.9,7.8857145
11,1990-03-19,4.8,8.685714
12,1990-03-26,0.0,6.8857145
13,1990-04-02,0.3,5.7714286
14,1990-04-09,10.4,6.7285714
15,1990-04-16,8.9,8.1
16,1990-04-23,6.7,9.642858
17,1990-04-30,0.0,15.485715
18,1990-05-07,25.5,15.471429
19,1990-05-14,10.900001,11.942857
20,1990-05-21,0.1,11.32857
21,1990-05-28,6.0,13.357142
22,1990-06-04,40.6,13.257143
23,1990-06-11,0.0,13.385714
24,1990-06-18,14.900001,16.371428
25,1990-06-25,13.599999,18.27143
26,1990-07-02,15.5,14.257143
27,1990-07-09,4.2,15.685715
28,1990-07-16,0.4,16.371428
29,1990-07-23,4.0,17.857143
30,1990-07-30,0.0,21.485714
31,1990-08-06,22.5,16.371428
32,1990-08-13,36.8,17.414286
33,1990-08-20,20.0,16.114286
34,1990-08-27,8.2,18.157143
35,1990-09-03,36.1,13.171428
36,1990-09-10,4.4,12.928572
37,1990-09-17,28.4,10.757143
38,1990-09-24,19.3,10.785714
39,1990-10-01,15.200001,12.514285
40,1990-10-08,0.0,12.242857
41,1990-10-15,0.0,12.8
42,1990-10-22,8.3,6.7428575
43,1990-10-29,30.2,6.1142855
44,1990-11-05,2.6,4.3285713
45,1990-11-12,31.600002,8.242857
46,1990-11-19,16.9,3.1000001
47,1990-11-26,10.400001,2.3714287
48,1990-12-03,6.0,1.3571428
49,1990-12-10,10.5,1.5571429
50,1990-12-17,7.2999997,1.1428572
51,1990-12-24,25.0,3.1714287
52,1990-12-31,17.9,4.9
53,1991-01-07,6.4,5.1714287
54,1991-01-14,3.8,-0.94285715
55,1991-01-21,2.8,2.3
56,1991-01-28,0.0,-3.0571427
57,1991-02-04,12.8,-4.9
58,1991-02-11,11.5,-2.8285713
59,1991-02-18,7.3,2.1857142
60,1991-02-25,3.5,2.2285714
61,1991-03-04,1.7,5.6285715
62,1991-03-11,0.0,8.528571
63,1991-03-18,13.400001,7.042857
64,1991-03-25,1.2,4.3428574
65,1991-04-01,7.2,8.857142
66,1991-04-08,2.2,10.685715
67,1991-04-15,3.2,3.7
68,1991-04-22,9.3,6.0
69,1991-04-29,16.9,6.557143
70,1991-05-06,3.4,9.085714
71,1991-05-13,10.4,9.171428
72,1991-05-20,0.4,10.985715
73,1991-05-27,0.6,11.957143
74,1991-06-03,17.4,11.657143
75,1991-06-10,34.8,12.3714285
76,1991-06-17,12.4,13.971429
77,1991-06-24,46.9,14.257143
78,1991-07-01,0.3,20.842855
79,1991-07-08,5.2999997,19.842855
80,1991-07-15,16.5,15.8714285
81,1991-07-22,9.5,17.042858
82,1991-07-29,13.5,20.071428
83,1991-08-05,20.7,19.97143
84,1991-08-12,8.0,16.199999
85,1991-08-19,3.9,16.657145
86,1991-08-26,8.599999,16.157143
87,1991-09-02,0.6,16.042856
88,1991-09-09,0.0,14.142858
89,1991-09-16,9.2,14.171428
90,1991-09-23,17.5,13.685715
91,1991-09-30,13.5,11.985715
92,1991-10-07,3.6,13.257143
93,1991-10-14,24.699999,9.142858
94,1991-10-21,0.8,5.514286
95,1991-10-28,10.5,4.9714284
96,1991-11-04,29.400002,5.8142858
97,1991-11-11,10.5,4.857143
98,1991-11-18,2.8,3.0714285
99,1991-11-25,2.3999999,2.7142856
100,1991-12-02,0.1,2.0428572
101,1991-12-09,0.1,-0.62857145
102,1991-12-16,42.699997,2.5571427
103,1991-12-23,16.3,4.2571425
104,1991-12-30,7.4,4.9
105,1992-01-06,9.7,3.1571429
106,1992-01-13,18.1,4.4857144
107,1992-01-20,0.1,-3.8999999
108,1992-01-27,5.5,0.8142857
109,1992-02-03,7.7999997,3.857143
110,1992-02-10,16.9,4.842857
111,1992-02-17,5.8,2.0428572
112,1992-02-24,0.3,6.0142856
113,1992-03-02,5.2,6.7999997
114,1992-03-09,41.3,3.9857142
115,1992-03-16,23.0,5.7285714
116,1992-03-23,6.9,3.457143
117,1992-03-30,21.3,5.5
118,1992-04-06,2.5,8.271429
119,1992-04-13,21.4,5.8285713
120,1992-04-20,17.0,9.314285
121,1992-04-27,4.7999997,9.585714
122,1992-05-04,28.8,9.771429
123,1992-05-11,3.7,13.5
124,1992-05-18,0.0,18.185715
125,1992-05-25,0.0,17.257143
126,1992-06-01,11.3,20.171429
127,1992-06-08,4.6,16.842857
128,1992-06-15,1.9,17.157143
129,1992-06-22,0.0,18.385714
130,1992-06-29,29.7,19.928572
131,1992-07-06,11.8,19.185715
132,1992-07-13,15.4,17.957142
133,1992-07-20,7.6000004,21.014286
134,1992-07-27,9.7,18.842855
135,1992-08-03,1.6,20.557142
136,1992-08-10,17.8,17.157143
137,1992-08-17,11.5,16.27143
138,1992-08-24,19.6,17.6
139,1992-08-31,32.7,12.528571
140,1992-09-07,1.0,14.028571
141,1992-09-14,0.2,13.485715
142,1992-09-21,0.1,14.900001
143,1992-09-28,0.0,11.5
144,1992-10-05,24.599998,9.1
145,1992-10-12,4.1,4.4714284
146,1992-10-19,25.3,5.2000003
147,1992-10-26,7.8,3.5857143
148,1992-11-02,12.5,7.3857145
149,1992-11-09,26.699999,3.7285714
150,1992-11-16,19.1,4.114286
151,1992-11-23,25.4,5.3714285
152,1992-11-30,12.1,4.928571
153,1992-12-07,15.5,2.857143
154,1992-12-14,6.0,4.0571427
155,1992-12-21,0.1,-1.7428571
156,1992-12-28,0.0,-3.8428574
157,1993-01-04,19.0,1.6142857
158,1993-01-11,10.900001,7.1142855
159,1993-01-18,45.4,6.085714
160,1993-01-25,22.900002,-1.6142856
161,1993-02-01,5.8,0.9428572
162,1993-02-08,1.6,1.3428571
163,1993-02-15,23.2,1.6857144
164,1993-02-22,1.7,-2.1142857
165,1993-03-01,2.3,0.5857143
166,1993-03-08,0.0,4.1285715
167,1993-03-15,3.4,7.714286
168,1993-03-22,9.3,3.9285715
169,1993-03-29,0.0,4.642857
170,1993-04-05,12.8,5.042857
171,1993-04-12,5.3,6.7428575
172,1993-04-19,13.8,12.928572
173,1993-04-26,4.0,17.642857
174,1993-05-03,1.1,10.557143
175,1993-05-10,3.7,15.242857
176,1993-05-17,14.6,16.9
177,1993-05-24,20.7,13.414286
178,1993-05-31,6.6,14.800001
179,1993-06-07,55.0,17.3
180,1993-06-14,19.2,13.671428
181,1993-06-21,21.1,12.357142
182,1993-06-28,0.5,16.77143
183,1993-07-05,9.4,14.914286
184,1993-07-12,9.7,15.257143
185,1993-07-19,47.5,15.099999
186,1993-07-26,60.4,15.757143
187,1993-08-02,18.9,16.585714
188,1993-08-09,14.200001,16.12857
189,1993-08-16,17.0,14.585714
190,1993-08-23,6.2,12.542857
191,1993-08-30,25.199999,12.228571
192,1993-09-06,55.5,13.542857
193,1993-09-13,23.7,10.257143
194,1993-09-20,9.4,13.114286
195,1993-09-27,8.1,10.385714
196,1993-10-04,9.6,12.599999
197,1993-10-11,33.6,8.857142
198,1993-10-18,0.2,4.9
199,1993-10-25,0.0,5.442857
200,1993-11-01,2.4,3.2428572
201,1993-11-08,19.0,5.2000003
202,1993-11-15,5.5,-0.94285715
203,1993-11-22,9.099999,-3.2857144
204,1993-11-29,6.5,1.557143
205,1993-12-06,38.399998,4.2428575
206,1993-12-13,31.7,3.5142856
207,1993-12-20,28.5,1.2857143
208,1993-12-27,23.3,1.7714287
209,1994-01-03,9.5,3.5571427
210,1994-01-10,18.7,3.9142857
211,1994-01-17,24.4,2.5714285
212,1994-01-24,41.800003,3.7000003
213,1994-01-31,1.8000001,2.1142857
214,1994-02-07,8.6,0.08571434
215,1994-02-14,2.0,-4.4857144
216,1994-02-21,6.5,-2.7714286
217,1994-02-28,23.3,2.8
218,1994-03-07,21.5,6.042857
219,1994-03-14,36.6,2.9285715
220,1994-03-21,28.1,4.7571425
221,1994-03-28,21.6,7.4857144
222,1994-04-04,19.1,5.2714286
223,1994-04-11,27.5,6.3857145
224,1994-04-18,0.0,10.385714
225,1994-04-25,0.2,13.6285715
226,1994-05-02,5.0,12.228571
227,1994-05-09,5.7,14.271429
