,Date,pr,tas,GWL
0,1990-01-01,1.0,-0.7285714,1.41
1,1990-01-08,3.3,3.8714287,1.41
2,1990-01-15,12.6,6.1857142,1.39
3,1990-01-22,26.4,5.7428575,1.38
4,1990-01-29,4.9,6.057143,1.44
5,1990-02-05,10.9,6.6285715,1.44
6,1990-02-12,13.4,2.7285714,1.47
7,1990-02-19,2.8,9.385714,1.5
8,1990-02-26,36.5,3.8999999,1.47
9,1990-03-05,21.5,7.2999997,1.46
10,1990-03-12,0.9,7.8857145,1.45
11,1990-03-19,4.8,8.685714,1.5
12,1990-03-26,0.0,6.8857145,1.42
13,1990-04-02,0.3,5.7714286,1.34
14,1990-04-09,10.4,6.7285714,1.28
15,1990-04-16,8.9,8.1,1.21
16,1990-04-23,6.7,9.642858,1.18
17,1990-04-30,0.0,15.485715,1.16
18,1990-05-07,25.5,15.471429,1.11
19,1990-05-14,10.900001,11.942857,1.1
20,1990-05-21,0.1,11.32857,1.06
21,1990-05-28,6.0,13.357142,1.025
22,1990-06-04,40.6,13.257143,0.99
23,1990-06-11,0.0,13.385714,0.96
24,1990-06-18,14.900001,16.371428,1.0
25,1990-06-25,13.599999,18.27143,1.18
26,1990-07-02,15.5,14.257143,1.48
27,1990-07-09,4.2,15.685715,1.4
28,1990-07-16,0.4,16.371428,1.33
29,1990-07-23,4.0,17.857143,1.27
30,1990-07-30,0.0,21.485714,1.06
31,1990-08-06,22.5,16.371428,0.99
32,1990-08-13,36.8,17.414286,1.05
33,1990-08-20,20.0,16.114286,1.13
34,1990-08-27,8.2,18.157143,1.125
35,1990-09-03,36.1,13.171428,1.12
36,1990-09-10,4.4,12.928572,1.13
37,1990-09-17,28.4,10.757143,1.13
38,1990-09-24,19.3,10.785714,1.14
39,1990-10-01,15.200001,12.514285,1.14
40,1990-10-08,0.0,12.242857,1.13
41,1990-10-15,0.0,12.8,1.1
42,1990-10-22,8.3,6.7428575,1.09
43,1990-10-29,30.2,6.1142855,1.08
44,1990-11-05,2.6,4.3285713,1.15
45,1990-11-12,31.600002,8.242857,1.3
46,1990-11-19,16.9,3.1000001,1.34
47,1990-11-26,10.400001,2.3714287,1.355
48,1990-12-03,6.0,1.3571428,1.37
49,1990-12-10,10.5,1.5571429,1.46
50,1990-12-17,7.2999997,1.1428572,1.49
51,1990-12-24,25.0,3.1714287,1.51
52,1990-12-31,17.9,4.9,1.45
53,1991-01-07,6.4,5.1714287,1.4
54,1991-01-14,3.8,-0.94285715,1.37
55,1991-01-21,2.8,2.3,1.28
56,1991-01-28,0.0,-3.0571427,1.27
57,1991-02-04,12.8,-4.9,1.26
58,1991-02-11,11.5,-2.8285713,1.27
59,1991-02-18,7.3,2.1857142,1.3
60,1991-02-25,3.5,2.2285714,1.32
61,1991-03-04,1.7,5.6285715,1.33
62,1991-03-11,0.0,8.528571,1.33
63,1991-03-18,13.400001,7.042857,1.3
64,1991-03-25,1.2,4.3428574,1.28
65,1991-04-01,7.2,8.857142,1.27
66,1991-04-08,2.2,10.685715,1.28
67,1991-04-15,3.2,3.7,1.28
68,1991-04-22,9.3,6.0,1.3
69,1991-04-29,16.9,6.557143,1.31
70,1991-05-06,3.4,9.085714,1.34
71,1991-05-13,10.4,9.171428,1.35
72,1991-05-20,0.4,10.985715,1.37
73,1991-05-27,0.6,11.957143,1.365
74,1991-06-03,17.4,11.657143,1.36
75,1991-06-10,34.8,12.3714285,1.33
76,1991-06-17,12.4,13.971429,1.29
77,1991-06-24,46.9,14.257143,1.25
78,1991-07-01,0.3,20.842855,1.25
79,1991-07-08,5.2999997,19.842855,1.24
80,1991-07-15,16.5,15.8714285,1.24
81,1991-07-22,9.5,17.042858,1.22
82,1991-07-29,13.5,20.071428,1.18
83,1991-08-05,20.7,19.97143,1.08
84,1991-08-12,8.0,16.199999,1.02
85,1991-08-19,3.9,16.657145,0.9
86,1991-08-26,8.599999,16.157143,0.9
87,1991-09-02,0.6,16.042856,0.9
88,1991-09-09,0.0,14.142858,0.91
89,1991-09-16,9.2,14.171428,0.9
90,1991-09-23,17.5,13.685715,0.9
91,1991-09-30,13.5,11.985715,0.89
92,1991-10-07,3.6,13.257143,0.9
93,1991-10-14,24.699999,9.142858,0.94
94,1991-10-21,0.8,5.514286,0.97
95,1991-10-28,10.5,4.9714284,0.985
96,1991-11-04,29.400002,5.8142858,1.0
97,1991-11-11,10.5,4.857143,1.05
98,1991-11-18,2.8,3.0714285,1.11
99,1991-11-25,2.3999999,2.7142856,1.15
100,1991-12-02,0.1,2.0428572,1.15
101,1991-12-09,0.1,-0.62857145,1.16
102,1991-12-16,42.699997,2.5571427,1.16
103,1991-12-23,16.3,4.2571425,1.15
104,1991-12-30,7.4,4.9,1.18
105,1992-01-06,9.7,3.1571429,1.21
106,1992-01-13,18.1,4.4857144,1.26
107,1992-01-20,0.1,-3.8999999,1.36
108,1992-01-27,5.5,0.8142857,1.36
109,1992-02-03,7.7999997,3.857143,1.36
110,1992-02-10,16.9,4.842857,1.36
111,1992-02-17,5.8,2.0428572,1.33
112,1992-02-24,0.3,6.0142856,1.3
113,1992-03-02,5.2,6.7999997,1.33
114,1992-03-09,41.3,3.9857142,1.4
115,1992-03-16,23.0,5.7285714,1.45
116,1992-03-23,6.9,3.457143,1.5
117,1992-03-30,21.3,5.5,1.49
118,1992-04-06,2.5,8.271429,1.46
119,1992-04-13,21.4,5.8285713,1.44
120,1992-04-20,17.0,9.314285,1.43
121,1992-04-27,4.7999997,9.585714,1.43
122,1992-05-04,28.8,9.771429,1.43
123,1992-05-11,3.7,13.5,1.35
124,1992-05-18,0.0,18.185715,1.3
125,1992-05-25,0.0,17.257143,1.2
126,1992-06-01,11.3,20.171429,1.15
127,1992-06-08,4.6,16.842857,1.11
128,1992-06-15,1.9,17.157143,1.05
129,1992-06-22,0.0,18.385714,0.92
130,1992-06-29,29.7,19.928572,0.9
131,1992-07-06,11.8,19.185715,0.82
132,1992-07-13,15.4,17.957142,0.77
133,1992-07-20,7.6000004,21.014286,0.73
134,1992-07-27,9.7,18.842855,0.73
135,1992-08-03,1.6,20.557142,0.73
136,1992-08-10,17.8,17.157143,0.72
137,1992-08-17,11.5,16.27143,0.7
138,1992-08-24,19.6,17.6,0.7
139,1992-08-31,32.7,12.528571,0.74
140,1992-09-07,1.0,14.028571,0.8
141,1992-09-14,0.2,13.485715,0.84
142,1992-09-21,0.1,14.900001,0.88
143,1992-09-28,0.0,11.5,0.88
144,1992-10-05,24.599998,9.1,0.9
145,1992-10-12,4.1,4.4714284,0.9
146,1992-10-19,25.3,5.2000003,0.92
147,1992-10-26,7.8,3.5857143,0.96
148,1992-11-02,12.5,7.3857145,1.0
149,1992-11-09,26.699999,3.7285714,1.02
150,1992-11-16,19.1,4.114286,1.09
151,1992-11-23,25.4,5.3714285,1.13
152,1992-11-30,12.1,4.928571,1.14
153,1992-12-07,15.5,2.857143,1.18
154,1992-12-14,6.0,4.0571427,1.24
155,1992-12-21,0.1,-1.7428571,1.29
156,1992-12-28,0.0,-3.8428574,1.3
157,1993-01-04,19.0,1.6142857,1.31
158,1993-01-11,10.900001,7.1142855,1.34
159,1993-01-18,45.4,6.085714,1.36
160,1993-01-25,22.900002,-1.6142856,1.38
161,1993-02-01,5.8,0.9428572,1.38
162,1993-02-08,1.6,1.3428571,1.38
163,1993-02-15,23.2,1.6857144,1.39
164,1993-02-22,1.7,-2.1142857,1.4
165,1993-03-01,2.3,0.5857143,1.36
166,1993-03-08,0.0,4.1285715,1.34
167,1993-03-15,3.4,7.714286,1.34
168,1993-03-22,9.3,3.9285715,1.34
169,1993-03-29,0.0,4.642857,1.32
170,1993-04-05,12.8,5.042857,1.3
171,1993-04-12,5.3,6.7428575,1.25
172,1993-04-19,13.8,12.928572,1.27
173,1993-04-26,4.0,17.642857,1.235
174,1993-05-03,1.1,10.557143,1.2
175,1993-05-10,3.7,15.242857,1.13
176,1993-05-17,14.6,16.9,1.06
177,1993-05-24,20.7,13.414286,1.03
178,1993-05-31,6.6,14.800001,1.05
179,1993-06-07,55.0,17.3,1.03
180,1993-06-14,19.2,13.671428,1.12
181,1993-06-21,21.1,12.357142,1.19
182,1993-06-28,0.5,16.77143,1.15
183,1993-07-05,9.4,14.914286,1.12
184,1993-07-12,9.7,15.257143,1.08
185,1993-07-19,47.5,15.099999,1.08
186,1993-07-26,60.4,15.757143,1.075
187,1993-08-02,18.9,16.585714,1.07
188,1993-08-09,14.200001,16.12857,1.06
