,Date,pr,tas
0,1990-01-01,0.6,-1.7714285
1,1990-01-08,0.4,1.8714286
2,1990-01-15,2.5,5.7000003
3,1990-01-22,16.0,6.2428575
4,1990-01-29,2.3,6.457143
5,1990-02-05,6.7000003,6.0
6,1990-02-12,16.0,3.7142856
7,1990-02-19,0.5,9.599999
8,1990-02-26,36.4,4.0
9,1990-03-05,9.099999,8.1285715
10,1990-03-12,0.0,7.3142858
11,1990-03-19,2.5,9.957143
12,1990-03-26,0.6,7.057143
13,1990-04-02,1.1,6.3857145
14,1990-04-09,10.0,6.2000003
15,1990-04-16,4.9,8.571428
16,1990-04-23,7.1,9.5
17,1990-04-30,0.0,15.885715
18,1990-05-07,0.90000004,15.471429
19,1990-05-14,1.9,13.385714
20,1990-05-21,0.8,13.485715
21,1990-05-28,10.9,14.185715
22,1990-06-04,43.6,13.2
23,1990-06-11,0.2,14.185715
24,1990-06-18,2.6,17.657143
25,1990-06-25,17.3,20.657145
26,1990-07-02,16.1,15.071428
27,1990-07-09,4.4,16.628572
28,1990-07-16,0.7,17.342855
29,1990-07-23,0.1,18.185713
30,1990-07-30,0.3,22.942858
31,1990-08-06,0.8,18.457142
32,1990-08-13,23.800001,17.871428
33,1990-08-20,14.1,17.071428
34,1990-08-27,30.1,18.9
35,1990-09-03,10.1,13.385714
36,1990-09-10,7.0,12.042857
37,1990-09-17,10.7,11.242857
38,1990-09-24,17.4,11.571428
39,1990-10-01,7.4,12.300001
40,1990-10-08,0.9,10.457143
41,1990-10-15,0.2,12.085714
42,1990-10-22,12.8,5.5142856
43,1990-10-29,15.0,7.0
44,1990-11-05,2.8,4.714286
45,1990-11-12,19.0,8.942857
46,1990-11-19,9.8,3.042857
47,1990-11-26,5.4,1.1999999
48,1990-12-03,3.8,-0.1571429
49,1990-12-10,17.1,0.4
50,1990-12-17,4.5,1.0
51,1990-12-24,13.7,3.7857144
52,1990-12-31,14.3,5.2285714
53,1991-01-07,10.6,5.8285713
54,1991-01-14,0.1,-3.142857
55,1991-01-21,1.9,0.88571423
56,1991-01-28,0.1,-4.214286
57,1991-02-04,7.4,-7.0
58,1991-02-11,7.5,-3.8142858
59,1991-02-18,1.2,1.7714285
60,1991-02-25,0.0,2.3857143
61,1991-03-04,0.5,6.2714286
62,1991-03-11,2.1,9.6285715
63,1991-03-18,25.3,8.885715
64,1991-03-25,0.0,3.042857
65,1991-04-01,5.4,9.071428
66,1991-04-08,0.7,9.914286
67,1991-04-15,3.3999999,3.5285716
68,1991-04-22,2.3,5.9000006
69,1991-04-29,8.5,6.9857144
70,1991-05-06,4.2,9.157143
71,1991-05-13,7.4,8.985715
72,1991-05-20,3.3000002,11.342857
73,1991-05-27,0.0,12.985715
74,1991-06-03,7.8,12.028571
75,1991-06-10,10.200001,14.7
76,1991-06-17,23.4,15.042857
77,1991-06-24,17.6,15.042857
78,1991-07-01,0.2,21.47143
79,1991-07-08,4.1,21.571428
80,1991-07-15,0.2,17.1
81,1991-07-22,12.0,17.571428
82,1991-07-29,16.0,19.857143
83,1991-08-05,7.5,21.314285
84,1991-08-12,1.2,17.242857
85,1991-08-19,4.5,17.014286
86,1991-08-26,0.0,15.742857
87,1991-09-02,1.0,16.371428
88,1991-09-09,0.3,13.714286
89,1991-09-16,12.4,15.357142
90,1991-09-23,1.7,14.885714
91,1991-09-30,8.400001,12.228571
92,1991-10-07,4.2,13.2
93,1991-10-14,6.6,8.9
94,1991-10-21,2.3,3.9285715
