,Date,pr,tas,GWL
0,1990-01-01,0.6,-1.7714285,52.14
1,1990-01-08,0.4,1.8714286,52.15
2,1990-01-15,2.5,5.7000003,52.16
3,1990-01-22,16.0,6.2428575,52.18
4,1990-01-29,2.3,6.457143,52.18
5,1990-02-05,6.7000003,6.0,52.17
6,1990-02-12,16.0,3.7142856,52.17
7,1990-02-19,0.5,9.599999,52.16
8,1990-02-26,36.4,4.0,52.17
9,1990-03-05,9.099999,8.1285715,52.18
10,1990-03-12,0.0,7.3142858,52.19
11,1990-03-19,2.5,9.957143,52.2
12,1990-03-26,0.6,7.057143,52.19
13,1990-04-02,1.1,6.3857145,52.18
14,1990-04-09,10.0,6.2000003,52.16
15,1990-04-16,4.9,8.571428,52.15
16,1990-04-23,7.1,9.5,52.13
17,1990-04-30,0.0,15.885715,52.1
18,1990-05-07,0.90000004,15.471429,52.08
19,1990-05-14,1.9,13.385714,52.05
20,1990-05-21,0.8,13.485715,52.03
21,1990-05-28,10.9,14.185715,52.03
22,1990-06-04,43.6,13.2,52.03
23,1990-06-11,0.2,14.185715,52.04
24,1990-06-18,2.6,17.657143,52.04
25,1990-06-25,17.3,20.657145,52.04
26,1990-07-02,16.1,15.071428,52.02
27,1990-07-09,4.4,16.628572,52.01
28,1990-07-16,0.7,17.342855,51.99
29,1990-07-23,0.1,18.185713,51.97
30,1990-07-30,0.3,22.942858,51.96
31,1990-08-06,0.8,18.457142,51.95
32,1990-08-13,23.800001,17.871428,51.93
33,1990-08-20,14.1,17.071428,51.91
34,1990-08-27,30.1,18.9,51.91
35,1990-09-03,10.1,13.385714,51.91
36,1990-09-10,7.0,12.042857,51.91
37,1990-09-17,10.7,11.242857,51.9
38,1990-09-24,17.4,11.571428,51.9
39,1990-10-01,7.4,12.300001,51.9
40,1990-10-08,0.9,10.457143,51.9
41,1990-10-15,0.2,12.085714,51.89
42,1990-10-22,12.8,5.5142856,51.89
43,1990-10-29,15.0,7.0,51.9
44,1990-11-05,2.8,4.714286,51.91
45,1990-11-12,19.0,8.942857,51.94
46,1990-11-19,9.8,3.042857,51.98
47,1990-11-26,5.4,1.1999999,51.98
48,1990-12-03,3.8,-0.1571429,51.98
49,1990-12-10,17.1,0.4,51.99
50,1990-12-17,4.5,1.0,52.0
51,1990-12-24,13.7,3.7857144,52.0
52,1990-12-31,14.3,5.2285714,52.03
53,1991-01-07,10.6,5.8285713,52.07
54,1991-01-14,0.1,-3.142857,52.11
55,1991-01-21,1.9,0.88571423,52.14
56,1991-01-28,0.1,-4.214286,52.13
57,1991-02-04,7.4,-7.0,52.12
58,1991-02-11,7.5,-3.8142858,52.11
59,1991-02-18,1.2,1.7714285,52.09
60,1991-02-25,0.0,2.3857143,52.08
61,1991-03-04,0.5,6.2714286,52.11
62,1991-03-11,2.1,9.6285715,52.14
63,1991-03-18,25.3,8.885715,52.18
64,1991-03-25,0.0,3.042857,52.22
65,1991-04-01,5.4,9.071428,52.22
66,1991-04-08,0.7,9.914286,52.22
67,1991-04-15,3.3999999,3.5285716,52.23
68,1991-04-22,2.3,5.9000006,52.24
69,1991-04-29,8.5,6.9857144,52.26
70,1991-05-06,4.2,9.157143,52.28
71,1991-05-13,7.4,8.985715,52.29
72,1991-05-20,3.3000002,11.342857,52.31
73,1991-05-27,0.0,12.985715,52.305
74,1991-06-03,7.8,12.028571,52.3
75,1991-06-10,10.200001,14.7,52.29
76,1991-06-17,23.4,15.042857,52.28
77,1991-06-24,17.6,15.042857,52.26
78,1991-07-01,0.2,21.47143,52.22
79,1991-07-08,4.1,21.571428,52.17
80,1991-07-15,0.2,17.1,52.15
81,1991-07-22,12.0,17.571428,52.05
82,1991-07-29,16.0,19.857143,52.02
83,1991-08-05,7.5,21.314285,51.98
84,1991-08-12,1.2,17.242857,51.95
85,1991-08-19,4.5,17.014286,51.92
86,1991-08-26,0.0,15.742857,51.91
87,1991-09-02,1.0,16.371428,51.9
88,1991-09-09,0.3,13.714286,51.88
89,1991-09-16,12.4,15.357142,51.86
90,1991-09-23,1.7,14.885714,51.84
91,1991-09-30,8.400001,12.228571,51.84
92,1991-10-07,4.2,13.2,51.83
93,1991-10-14,6.6,8.9,51.82
94,1991-10-21,2.3,3.9285715,51.81
95,1991-10-28,5.7999997,3.857143,51.81
96,1991-11-04,20.7,6.1142855,51.81
97,1991-11-11,5.8,4.8857145,51.83
98,1991-11-18,4.6000004,1.6285714,51.85
99,1991-11-25,0.4,1.4714286,51.88
100,1991-12-02,3.8999999,0.6571428,51.9
101,1991-12-09,0.0,-4.4428573,51.92
102,1991-12-16,27.3,2.5142858,51.93
103,1991-12-23,10.4,3.8714287,51.93
104,1991-12-30,9.2,3.5285716,51.96
105,1992-01-06,4.0,3.885714,51.99
106,1992-01-13,3.3000002,3.8142855,52.03
107,1992-01-20,0.3,-5.071429,52.07
108,1992-01-27,0.2,-0.55714285,52.07
109,1992-02-03,1.3,4.1,52.07
110,1992-02-10,8.1,5.6714287,52.09
111,1992-02-17,2.7000003,0.98571426,52.11
112,1992-02-24,0.0,5.1571426,52.13
113,1992-03-02,4.7,6.4428573,52.16
114,1992-03-09,29.3,4.4,52.18
115,1992-03-16,10.9,5.7428575,52.21
116,1992-03-23,9.8,3.0,52.24
117,1992-03-30,13.6,5.085714,52.27
118,1992-04-06,0.0,8.1,52.3
119,1992-04-13,4.7,7.2000003,52.33
120,1992-04-20,3.8,11.242857,52.38
121,1992-04-27,5.8,9.971429,52.38
122,1992-05-04,16.5,10.900001,52.38
123,1992-05-11,5.0,14.585714,52.38
124,1992-05-18,1.0,17.642857,52.38
125,1992-05-25,0.0,17.157143,52.38
126,1992-06-01,29.7,18.642857,52.33
127,1992-06-08,8.4,15.814286,52.29
128,1992-06-15,9.0,18.171429,52.25
129,1992-06-22,1.2,18.314285,52.2
130,1992-06-29,25.3,20.114286,52.15
131,1992-07-06,7.8,17.171429,52.09
132,1992-07-13,12.4,18.485714,52.03
133,1992-07-20,22.199999,21.5,51.98
134,1992-07-27,4.6,20.6,51.965
135,1992-08-03,4.2,23.214285,51.95
136,1992-08-10,7.3999996,17.314285,51.93
137,1992-08-17,16.5,18.085714,51.91
138,1992-08-24,8.8,20.685715,51.88
139,1992-08-31,33.0,12.285714,51.85
140,1992-09-07,2.0,14.071428,51.82
141,1992-09-14,1.5,13.314285,51.8
142,1992-09-21,0.5,14.428572,51.78
143,1992-09-28,3.0,12.614286,51.78
144,1992-10-05,13.599999,8.742857,51.79
145,1992-10-12,2.5,3.3285716,51.8
146,1992-10-19,14.3,5.2285714,51.81
147,1992-10-26,8.3,3.7857144,51.8107521557719
148,1992-11-02,4.0,7.4714284,51.8431549374131
149,1992-11-09,17.6,4.4857144,51.8350542420028
150,1992-11-16,22.3,4.3285713,51.8512556328234
151,1992-11-23,13.3,5.8714285,51.867457023644
152,1992-11-30,15.1,5.0,51.8836584144645
153,1992-12-07,13.3,2.6142857,51.924161891516
154,1992-12-14,9.6,1.7285715,51.9727660639777
155,1992-12-21,3.8999999,-1.3857144,51.9727660639777
156,1992-12-28,0.0,-7.3285713,51.9849171070932
157,1993-01-04,4.1,1.6142856,51.9970681502086
158,1993-01-11,22.4,7.5428576,51.980866759388
159,1993-01-18,13.1,7.1571426,52.0537730180807
160,1993-01-25,20.4,-3.3714287,52.0051688456189
161,1993-02-01,3.2,-4.7000003,52.03
162,1993-02-08,0.1,-0.88571423,52.06
163,1993-02-15,20.699999,1.3000001,52.08
164,1993-02-22,0.70000005,-2.0857143,52.1
165,1993-03-01,1.9000001,0.38571426,52.11
166,1993-03-08,0.8,3.4714284,52.12
167,1993-03-15,0.8,9.0,52.14
168,1993-03-22,3.2,3.5285714,52.14
169,1993-03-29,0.4,4.8142858,52.12
170,1993-04-05,3.9,6.357143,52.11
171,1993-04-12,4.7,9.328572,52.1
172,1993-04-19,4.6,14.814285,52.08
173,1993-04-26,3.7,17.542858,52.065
174,1993-05-03,1.3000001,12.242857,52.05
175,1993-05-10,3.3,16.27143,51.99
176,1993-05-17,28.3,16.142857,51.96
177,1993-05-24,33.9,15.657143,52.0
178,1993-05-31,33.1,16.8,51.96
179,1993-06-07,25.199999,18.128572,51.91
180,1993-06-14,6.0,14.971429,51.9
181,1993-06-21,3.9,13.757143,52.04
182,1993-06-28,1.3,17.928572,52.0
183,1993-07-05,31.2,15.142858,52.03
184,1993-07-12,33.9,15.757143,52.08
185,1993-07-19,8.2,15.728571,52.12
