,Date,pr,tas,GWL
0,1990-01-01,1.0,-0.7285714,69.45
1,1990-01-08,3.3,3.8714287,69.39
2,1990-01-15,12.6,6.1857142,69.39
3,1990-01-22,26.4,5.7428575,69.41
4,1990-01-29,4.9,6.057143,69.47
5,1990-02-05,10.9,6.6285715,69.44
6,1990-02-12,13.4,2.7285714,69.54
7,1990-02-19,2.8,9.385714,69.45
8,1990-02-26,36.5,3.8999999,69.52
9,1990-03-05,21.5,7.2999997,69.63
10,1990-03-12,0.9,7.8857145,69.54
11,1990-03-19,4.8,8.685714,69.44
12,1990-03-26,0.0,6.8857145,69.415
13,1990-04-02,0.3,5.7714286,69.39
14,1990-04-09,10.4,6.7285714,69.35
15,1990-04-16,8.9,8.1,69.3
16,1990-04-23,6.7,9.642858,69.27
17,1990-04-30,0.0,15.485715,69.23
18,1990-05-07,25.5,15.471429,69.17
19,1990-05-14,10.900001,11.942857,69.13
20,1990-05-21,0.1,11.32857,69.05
21,1990-05-28,6.0,13.357142,69.025
22,1990-06-04,40.6,13.257143,69.0
23,1990-06-11,0.0,13.385714,69.05
24,1990-06-18,14.900001,16.371428,69.11
25,1990-06-25,13.599999,18.27143,69.04
26,1990-07-02,15.5,14.257143,69.01
27,1990-07-09,4.2,15.685715,68.99
28,1990-07-16,0.4,16.371428,68.95
29,1990-07-23,4.0,17.857143,68.91
30,1990-07-30,0.0,21.485714,68.87
31,1990-08-06,22.5,16.371428,68.84
32,1990-08-13,36.8,17.414286,68.91
33,1990-08-20,20.0,16.114286,68.97
34,1990-08-27,8.2,18.157143,68.995
35,1990-09-03,36.1,13.171428,69.02
36,1990-09-10,4.4,12.928572,69.06
37,1990-09-17,28.4,10.757143,69.03
38,1990-09-24,19.3,10.785714,69.04
39,1990-10-01,15.200001,12.514285,69.06
40,1990-10-08,0.0,12.242857,69.07
41,1990-10-15,0.0,12.8,69.04
42,1990-10-22,8.3,6.7428575,69.03
43,1990-10-29,30.2,6.1142855,69.1
44,1990-11-05,2.6,4.3285713,69.11
45,1990-11-12,31.600002,8.242857,69.13
46,1990-11-19,16.9,3.1000001,69.27
47,1990-11-26,10.400001,2.3714287,69.305
48,1990-12-03,6.0,1.3571428,69.34
49,1990-12-10,10.5,1.5571429,69.39
50,1990-12-17,7.2999997,1.1428572,69.41
51,1990-12-24,25.0,3.1714287,69.43
52,1990-12-31,17.9,4.9,69.54
53,1991-01-07,6.4,5.1714287,69.54
54,1991-01-14,3.8,-0.94285715,69.43
55,1991-01-21,2.8,2.3,69.36
56,1991-01-28,0.0,-3.0571427,69.35
57,1991-02-04,12.8,-4.9,69.34
58,1991-02-11,11.5,-2.8285713,69.24
59,1991-02-18,7.3,2.1857142,69.24
60,1991-02-25,3.5,2.2285714,69.23
61,1991-03-04,1.7,5.6285715,69.41
62,1991-03-11,0.0,8.528571,69.43
63,1991-03-18,13.400001,7.042857,69.37
64,1991-03-25,1.2,4.3428574,69.43
65,1991-04-01,7.2,8.857142,69.33
66,1991-04-08,2.2,10.685715,69.36
67,1991-04-15,3.2,3.7,69.28
68,1991-04-22,9.3,6.0,69.24
69,1991-04-29,16.9,6.557143,69.21
70,1991-05-06,3.4,9.085714,69.27
71,1991-05-13,10.4,9.171428,69.24
72,1991-05-20,0.4,10.985715,69.15
73,1991-05-27,0.6,11.957143,69.115
74,1991-06-03,17.4,11.657143,69.08
75,1991-06-10,34.8,12.3714285,69.05
76,1991-06-17,12.4,13.971429,69.05
77,1991-06-24,46.9,14.257143,69.04
78,1991-07-01,0.3,20.842855,69.11
79,1991-07-08,5.2999997,19.842855,69.02
80,1991-07-15,16.5,15.8714285,68.98
81,1991-07-22,9.5,17.042858,68.98
82,1991-07-29,13.5,20.071428,68.92
83,1991-08-05,20.7,19.97143,68.91
84,1991-08-12,8.0,16.199999,68.89
85,1991-08-19,3.9,16.657145,68.93
86,1991-08-26,8.599999,16.157143,68.905
