,Date,pr,tas,Wert,Einheit,Produkt
0,1970-01-01 12:00:00,0.3,-5.6,,,
1,1970-01-02 12:00:00,0.6,-3.7,,,
2,1970-01-03 12:00:00,3.6,-0.5,,,
3,1970-01-04 12:00:00,11.2,-0.4,,,
4,1970-01-05 12:00:00,1.5,-2.5,,,
5,1970-01-06 12:00:00,0.1,-3.0,,,
6,1970-01-07 12:00:00,0.0,-1.5,,,
7,1970-01-08 12:00:00,1.9,-4.1,,,
8,1970-01-09 12:00:00,5.6,-1.5,,,
9,1970-01-10 12:00:00,4.3,-0.4,,,
10,1970-01-11 12:00:00,0.4,0.5,,,
11,1970-01-12 12:00:00,0.1,-1.2,,,
12,1970-01-13 12:00:00,0.1,-3.7,,,
13,1970-01-14 12:00:00,2.5,-2.4,,,
14,1970-01-15 12:00:00,0.1,0.2,,,
15,1970-01-16 12:00:00,0.1,2.7,,,
16,1970-01-17 12:00:00,0.1,2.1,,,
17,1970-01-18 12:00:00,0.0,0.1,,,
18,1970-01-19 12:00:00,0.0,-2.0,,,
19,1970-01-20 12:00:00,0.2,-5.7,,,
20,1970-01-21 12:00:00,0.0,-7.3,,,
21,1970-01-22 12:00:00,2.0,-3.9,,,
22,1970-01-23 12:00:00,3.5,-0.6,,,
23,1970-01-24 12:00:00,11.8,2.8,,,
24,1970-01-25 12:00:00,1.9,2.3,,,
25,1970-01-26 12:00:00,10.4,3.0,,,
26,1970-01-27 12:00:00,2.2,3.4,,,
27,1970-01-28 12:00:00,0.0,0.0,,,
28,1970-01-29 12:00:00,1.7,-1.1,,,
29,1970-01-30 12:00:00,4.9,-1.2,,,
30,1970-01-31 12:00:00,0.0,-4.8,,,
31,1970-02-01 12:00:00,0.1,-11.4,,,
32,1970-02-02 12:00:00,16.5,0.2,,,
33,1970-02-03 12:00:00,4.5,4.5,,,
34,1970-02-04 12:00:00,7.7,3.6,,,
35,1970-02-05 12:00:00,5.1,2.9,,,
36,1970-02-06 12:00:00,0.1,-0.6,,,
37,1970-02-07 12:00:00,8.0,0.4,,,
38,1970-02-08 12:00:00,28.5,2.9,,,
39,1970-02-09 12:00:00,4.1,3.3,,,
40,1970-02-10 12:00:00,1.7,1.0,,,
41,1970-02-11 12:00:00,0.0,-1.0,,,
42,1970-02-12 12:00:00,24.6,-0.6,,,
43,1970-02-13 12:00:00,0.1,-4.0,,,
44,1970-02-14 12:00:00,0.0,-3.5,,,
45,1970-02-15 12:00:00,0.0,-8.4,,,
46,1970-02-16 12:00:00,1.2,-6.5,,,
47,1970-02-17 12:00:00,1.0,-2.0,,,
48,1970-02-18 12:00:00,0.7,-3.3,,,
49,1970-02-19 12:00:00,5.8,-0.5,,,
50,1970-02-20 12:00:00,5.3,3.2,,,
51,1970-02-21 12:00:00,9.3,5.1,,,
52,1970-02-22 12:00:00,10.8,7.7,,,
53,1970-02-23 12:00:00,0.5,2.5,,,
54,1970-02-24 12:00:00,5.5,2.0,,,
55,1970-02-25 12:00:00,0.3,0.8,,,
56,1970-02-26 12:00:00,0.2,0.3,,,
57,1970-02-27 12:00:00,1.2,-1.5,,,
58,1970-02-28 12:00:00,0.1,-3.6,,,
59,1970-03-01 12:00:00,5.4,-1.8,,,
60,1970-03-02 12:00:00,3.2,-2.9,,,
61,1970-03-03 12:00:00,0.0,-3.9,,,
